timestamp,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,eth.src,eth.dst,category,detected.as
16:46.0,,,,,,,b4:b0:24:26:3a:84,33:33:00:00:00:01,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.1,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:46.3,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.3,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.3,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.3,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.3,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.4,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.4,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.4,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.4,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.4,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.8,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.8,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.8,20.42.73.26,192.168.1.112,443,61211,,,b4:b0:24:26:3a:84,b0:3c:dc:7e:92:d5,Anomaly,DDoS
16:46.8,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS
16:48.2,192.168.1.112,20.42.73.26,61211,443,,,b0:3c:dc:7e:92:d5,b4:b0:24:26:3a:84,Anomaly,DDoS